mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
4.5,"50 km E of Hashtrūd, Iran",1684777019367,1690668028040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k30u,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k30u&format=geojson,3.0,4.9,,,reviewed,0,313,us,7000k30u,",us7000k30u,",",us,",",dyfi,impact-text,origin,phase-data,",75.0,2.188,1.15,81.0,mb,earthquake,"M 4.5 - 50 km E of Hashtrūd, Iran"
4.5,"10 km WNW of Bolívar, Colombia",1684775654864,1690668028040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdxg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdxg&format=geojson,1.0,3.1,,,reviewed,0,312,us,6000kdxg,",us6000kdxg,",",us,",",dyfi,origin,phase-data,",56.0,1.941,1.01,64.0,mb,earthquake,"M 4.5 - 10 km WNW of Bolívar, Colombia"
4.5,"114 km SW of Abepura, Indonesia",1684770537845,1690668028040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdwu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdwu&format=geojson,,,,,reviewed,0,312,us,6000kdwu,",us6000kdwu,",",us,",",origin,phase-data,",42.0,1.138,0.71,54.0,mb,earthquake,"M 4.5 - 114 km SW of Abepura, Indonesia"
4.5,south of the Kermadec Islands,1684769127193,1690668042040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4ac,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4ac&format=geojson,,,,,reviewed,0,312,us,7000k4ac,",us7000k4ac,",",us,",",origin,phase-data,",24.0,3.659,1.05,148.0,mb,earthquake,M 4.5 - south of the Kermadec Islands
5.2,"157 km ENE of Gizo, Solomon Islands",1684762572759,1690668028040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdvd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdvd&format=geojson,,,,,reviewed,0,416,us,6000kdvd,",us6000kdvd,",",us,",",origin,phase-data,",102.0,2.481,0.7,29.0,mb,earthquake,"M 5.2 - 157 km ENE of Gizo, Solomon Islands"
5.0,"34 km NE of Hihifo, Tonga",1684762238655,1690668028040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdvb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdvb&format=geojson,1.0,2.0,,,reviewed,0,385,us,6000kdvb,",us6000kdvb,",",us,",",dyfi,origin,phase-data,",96.0,2.505,0.77,44.0,mb,earthquake,"M 5.0 - 34 km NE of Hihifo, Tonga"
4.9,"38 km SSE of Shimoda, Japan",1684752385807,1690668028040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdup,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdup&format=geojson,,,,,reviewed,0,369,us,6000kdup,",us6000kdup,",",us,",",origin,phase-data,",57.0,0.865,0.84,96.0,mb,earthquake,"M 4.9 - 38 km SSE of Shimoda, Japan"
4.6,Southwest Indian Ridge,1684750888159,1690668042040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4a1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4a1&format=geojson,,,,,reviewed,0,326,us,7000k4a1,",us7000k4a1,",",us,",",origin,phase-data,",25.0,9.99,0.89,67.0,mb,earthquake,M 4.6 - Southwest Indian Ridge
4.5,"44 km E of Calama, Chile",1684744788121,1690668028040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kduf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kduf&format=geojson,,,,,reviewed,0,312,us,6000kduf,",us6000kduf,",",us,",",origin,phase-data,",70.0,0.63,0.98,40.0,mb,earthquake,"M 4.5 - 44 km E of Calama, Chile"
4.7,"42 km NW of Villa Yapacaní, Bolivia",1684741872140,1690668027040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdu3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdu3&format=geojson,,,,,reviewed,0,340,us,6000kdu3,",us6000kdu3,",",us,",",origin,phase-data,",152.0,1.419,0.49,48.0,mb,earthquake,"M 4.7 - 42 km NW of Villa Yapacaní, Bolivia"
5.1,"41 km SE of Shimoda, Japan",1684741360250,1690668027040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdu2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdu2&format=geojson,15.0,3.1,,,reviewed,0,405,us,6000kdu2,",us6000kdu2,usauto6000kdu2,",",us,usauto,",",dyfi,internal-moment-tensor,moment-tensor,origin,phase-data,",148.0,0.955,0.4,97.0,mww,earthquake,"M 5.1 - 41 km SE of Shimoda, Japan"
5.4,southeast of the Loyalty Islands,1684738364830,1690668027040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdty,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdty&format=geojson,,,0.0,green,reviewed,0,449,us,6000kdty,",us6000kdty,",",us,",",losspager,moment-tensor,origin,phase-data,shakemap,",64.0,4.095,0.45,75.0,mww,earthquake,M 5.4 - southeast of the Loyalty Islands
4.9,"47 km SW of Ashkāsham, Afghanistan",1684734207382,1690668027040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdtp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdtp&format=geojson,,,,,reviewed,0,369,us,6000kdtp,",us6000kdtp,",",us,",",moment-tensor,origin,phase-data,",134.0,2.521,0.48,57.0,mww,earthquake,"M 4.9 - 47 km SW of Ashkāsham, Afghanistan"
5.2,Banda Sea,1684730720438,1690668027040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdtd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdtd&format=geojson,,,,,reviewed,0,416,us,6000kdtd,",usauto6000kdtd,us6000kdtd,",",usauto,us,",",internal-moment-tensor,origin,phase-data,",130.0,2.173,0.57,26.0,mww,earthquake,M 5.2 - Banda Sea
4.5,southeast of the Loyalty Islands,1684728245771,1690668041040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k49k,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k49k&format=geojson,,,,,reviewed,0,312,us,7000k49k,",us7000k49k,",",us,",",origin,phase-data,",13.0,3.053,0.48,188.0,mb,earthquake,M 4.5 - southeast of the Loyalty Islands
4.6,"202 km NW of Tobelo, Indonesia",1684724454709,1690668027040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdt0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdt0&format=geojson,,,,,reviewed,0,326,us,6000kdt0,",us6000kdt0,",",us,",",origin,phase-data,",49.0,2.39,0.79,109.0,mb,earthquake,"M 4.6 - 202 km NW of Tobelo, Indonesia"
5.0,"76 km NNE of Sarupathar, India",1684723535828,1690668027040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdsy,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdsy&format=geojson,,,,,reviewed,0,385,us,6000kdsy,",us6000kdsy,",",us,",",origin,phase-data,",159.0,5.916,0.52,35.0,mb,earthquake,"M 5.0 - 76 km NNE of Sarupathar, India"
4.9,west of Macquarie Island,1684712660359,1705607951839,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdt6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdt6&format=geojson,,,,,reviewed,0,369,us,6000kdt6,",us6000kdt6,",",us,",",earthquake-name,origin,phase-data,",19.0,12.202,0.54,107.0,mb,earthquake,M 4.9 - west of Macquarie Island
5.5,"135 km WSW of Kurio, Japan",1684707604199,1690668026040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdrq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdrq&format=geojson,,,3.489,green,reviewed,0,465,us,6000kdrq,",usauto6000kdrq,pt23141003,us6000kdrq,",",usauto,pt,us,",",internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",146.0,2.029,0.74,25.0,mww,earthquake,"M 5.5 - 135 km WSW of Kurio, Japan"
5.4,west of Macquarie Island,1684703500835,1690668026040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdrc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdrc&format=geojson,,,0.0,green,reviewed,0,449,us,6000kdrc,",usauto6000kdrc,us6000kdrc,",",usauto,us,",",internal-moment-tensor,losspager,origin,phase-data,shakemap,",57.0,10.635,0.65,68.0,mww,earthquake,M 5.4 - west of Macquarie Island
4.7,"53 km NW of Poso, Indonesia",1684702474757,1690668026040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdri,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdri&format=geojson,,,,,reviewed,0,340,us,6000kdri,",us6000kdri,",",us,",",origin,phase-data,",56.0,3.472,0.84,80.0,mb,earthquake,"M 4.7 - 53 km NW of Poso, Indonesia"
4.7,"14 km ESE of Xunchang, China",1684699004077,1690668026040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdqt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdqt&format=geojson,,,,,reviewed,0,340,us,6000kdqt,",us6000kdqt,",",us,",",origin,phase-data,",82.0,4.456,0.61,40.0,mb,earthquake,"M 4.7 - 14 km ESE of Xunchang, China"
5.0,"57 km NNW of Finschhafen, Papua New Guinea",1684695201184,1690668026040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdqc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdqc&format=geojson,,,,,reviewed,0,385,us,6000kdqc,",us6000kdqc,",",us,",",origin,phase-data,",119.0,3.333,0.73,37.0,mb,earthquake,"M 5.0 - 57 km NNW of Finschhafen, Papua New Guinea"
5.58,"108km W of Petrolia, CA",1684694641400,1716231244331,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73890906,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73890906&format=geojson,623.0,5.7,3.856,green,reviewed,1,834,nc,73890906,",ew1684694660,nc73890906,at00rv0upg,usauto6000kdq8,us6000kdq8,",",ew,nc,at,usauto,us,",",dyfi,ground-failure,impact-link,internal-moment-tensor,losspager,moment-tensor,nearby-cities,oaf,origin,phase-data,scitech-link,shake-alert,shakemap,",127.0,0.937,0.29,245.0,mw,earthquake,"M 5.6 - 108km W of Petrolia, CA"
4.8,"56 km NW of Poso, Indonesia",1684690265777,1690668026040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdq2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdq2&format=geojson,,,,,reviewed,0,354,us,6000kdq2,",us6000kdq2,",",us,",",origin,phase-data,",58.0,3.441,0.69,68.0,mb,earthquake,"M 4.8 - 56 km NW of Poso, Indonesia"
5.1,Prince Edward Islands region,1684689800311,1705607941072,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdpx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdpx&format=geojson,,,,,reviewed,0,400,us,6000kdpx,",us6000kdpx,",",us,",",earthquake-name,origin,phase-data,",73.0,9.181,0.89,39.0,mb,earthquake,M 5.1 - Prince Edward Islands region
4.5,southeast of the Loyalty Islands,1684689079046,1690668041040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k48q,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k48q&format=geojson,,,,,reviewed,0,312,us,7000k48q,",us7000k48q,",",us,",",origin,phase-data,",11.0,2.829,0.61,186.0,mb,earthquake,M 4.5 - southeast of the Loyalty Islands
4.7,Prince Edward Islands region,1684687009510,1690668041040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k48b,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k48b&format=geojson,,,,,reviewed,0,340,us,7000k48b,",us7000k48b,",",us,",",origin,phase-data,",21.0,9.459,0.65,54.0,mb,earthquake,M 4.7 - Prince Edward Islands region
6.1,"55 km WNW of Kirakira, Solomon Islands",1684683913303,1690668026040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdnw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdnw&format=geojson,8.0,5.2,5.419,green,reviewed,0,577,us,6000kdnw,",us6000kdnw,usauto6000kdnw,pt23141002,",",us,usauto,pt,",",dyfi,ground-failure,internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",105.0,1.691,0.89,17.0,mww,earthquake,"M 6.1 - 55 km WNW of Kirakira, Solomon Islands"
6.8,Prince Edward Islands region,1684681008208,1690668026040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdmq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdmq&format=geojson,,,0.0,green,reviewed,0,711,us,6000kdmq,",usauto6000kdmq,at00rv0k6o,pt23141001,us6000kdmq,",",usauto,at,pt,us,",",internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",82.0,9.411,0.96,33.0,mww,earthquake,M 6.8 - Prince Edward Islands region
4.9,"15 km ESE of Saimbeyli, Turkey",1684673173460,1690668025040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdm0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdm0&format=geojson,1.0,2.0,,,reviewed,0,370,us,6000kdm0,",us6000kdm0,",",us,",",dyfi,moment-tensor,origin,phase-data,",80.0,0.352,0.38,51.0,mwr,earthquake,"M 4.9 - 15 km ESE of Saimbeyli, Turkey"
4.6,southeast of the Loyalty Islands,1684672263296,1690668041040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k486,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k486&format=geojson,,,,,reviewed,0,326,us,7000k486,",us7000k486,",",us,",",origin,phase-data,",24.0,3.164,0.42,126.0,mb,earthquake,M 4.6 - southeast of the Loyalty Islands
4.6,Owen Fracture Zone region,1684669806663,1690668025040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdlr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdlr&format=geojson,,,,,reviewed,0,326,us,6000kdlr,",us6000kdlr,",",us,",",origin,phase-data,",69.0,11.593,0.64,61.0,mb,earthquake,M 4.6 - Owen Fracture Zone region
5.2,"104 km SE of Neiafu, Tonga",1684668363735,1690668025040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdlj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdlj&format=geojson,,,,,reviewed,0,416,us,6000kdlj,",us6000kdlj,",",us,",",origin,phase-data,",43.0,0.954,0.84,86.0,mww,earthquake,"M 5.2 - 104 km SE of Neiafu, Tonga"
4.8,"28 km SE of Shikotan, Russia",1684661987090,1690668025040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdkw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdkw&format=geojson,,,,,reviewed,0,354,us,6000kdkw,",us6000kdkw,",",us,",",origin,phase-data,",82.0,3.195,0.6,134.0,mb,earthquake,"M 4.8 - 28 km SE of Shikotan, Russia"
4.5,"48 km WSW of Masachapa, Nicaragua",1684661089905,1690668025040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdkq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdkq&format=geojson,,,,,reviewed,0,312,us,6000kdkq,",us6000kdkq,",",us,",",origin,phase-data,",61.0,0.832,0.69,131.0,mb,earthquake,"M 4.5 - 48 km WSW of Masachapa, Nicaragua"
4.5,"34 km NW of Baláo, Ecuador",1684655079139,1690668025040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdkj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdkj&format=geojson,2.0,3.4,,,reviewed,0,312,us,6000kdkj,",us6000kdkj,",",us,",",dyfi,origin,phase-data,",71.0,0.825,0.43,145.0,mb,earthquake,"M 4.5 - 34 km NW of Baláo, Ecuador"
5.7,"104 km SE of Neiafu, Tonga",1684646591962,1690668025040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdk8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdk8&format=geojson,,,3.565,green,reviewed,0,500,us,6000kdk8,",usauto6000kdk8,pt23141000,us6000kdk8,",",usauto,pt,us,",",internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",49.0,0.951,0.66,76.0,mww,earthquake,"M 5.7 - 104 km SE of Neiafu, Tonga"
4.6,South Sandwich Islands region,1684646067295,1690668040040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k481,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k481&format=geojson,,,,,reviewed,0,326,us,7000k481,",us7000k481,",",us,",",origin,phase-data,",30.0,5.339,0.52,94.0,mb,earthquake,M 4.6 - South Sandwich Islands region
4.5,"10 km S of Moíres, Greece",1684643765239,1690668025040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdk6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdk6&format=geojson,2.0,3.3,,,reviewed,0,312,us,6000kdk6,",us6000kdk6,",",us,",",dyfi,origin,phase-data,",51.0,0.331,0.75,130.0,mb,earthquake,"M 4.5 - 10 km S of Moíres, Greece"
4.9,southeast of the Loyalty Islands,1684642046594,1690668040040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k47g,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k47g&format=geojson,,,,,reviewed,0,369,us,7000k47g,",us7000k47g,",",us,",",origin,phase-data,",23.0,3.965,1.2,126.0,mb,earthquake,M 4.9 - southeast of the Loyalty Islands
4.5,southeast of the Loyalty Islands,1684641983709,1690668040040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k47j,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k47j&format=geojson,,,,,reviewed,0,312,us,7000k47j,",us7000k47j,",",us,",",origin,phase-data,",18.0,3.801,1.05,122.0,mb,earthquake,M 4.5 - southeast of the Loyalty Islands
4.9,"8 km ENE of Cortes, Philippines",1684638713561,1690668024040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdjn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdjn&format=geojson,,,,,reviewed,0,369,us,6000kdjn,",us6000kdjn,",",us,",",origin,phase-data,",62.0,2.323,0.76,92.0,mb,earthquake,"M 4.9 - 8 km ENE of Cortes, Philippines"
4.5,southeast of the Loyalty Islands,1684637895918,1690668040040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k47d,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k47d&format=geojson,,,,,reviewed,0,312,us,7000k47d,",us7000k47d,",",us,",",origin,phase-data,",16.0,2.956,0.3,75.0,mb,earthquake,M 4.5 - southeast of the Loyalty Islands
4.7,southeast of the Loyalty Islands,1684636026671,1690668040040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k47p,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k47p&format=geojson,,,,,reviewed,0,340,us,7000k47p,",us7000k47p,",",us,",",origin,phase-data,",23.0,3.005,1.22,186.0,mb,earthquake,M 4.7 - southeast of the Loyalty Islands
4.6,southeast of the Loyalty Islands,1684635956200,1690668040040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k47t,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k47t&format=geojson,,,,,reviewed,0,326,us,7000k47t,",us7000k47t,",",us,",",origin,phase-data,",16.0,3.337,0.82,132.0,mb,earthquake,M 4.6 - southeast of the Loyalty Islands
4.6,"108 km SSW of Jucuarán, El Salvador",1684629017865,1690668024040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdiy,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdiy&format=geojson,,,,,reviewed,0,326,us,6000kdiy,",us6000kdiy,",",us,",",origin,phase-data,",74.0,1.175,0.44,88.0,mb,earthquake,"M 4.6 - 108 km SSW of Jucuarán, El Salvador"
5.1,South Sandwich Islands region,1684625605954,1705607920574,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdif,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdif&format=geojson,,,,,reviewed,0,400,us,6000kdif,",us6000kdif,",",us,",",earthquake-name,origin,phase-data,",139.0,16.89,0.59,39.0,mww,earthquake,M 5.1 - South Sandwich Islands region
5.1,southeast of the Loyalty Islands,1684620525706,1690161326040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdi1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdi1&format=geojson,,,,,reviewed,0,400,us,6000kdi1,",us6000kdi1,",",us,",",origin,phase-data,",44.0,3.856,0.75,107.0,mb,earthquake,M 5.1 - southeast of the Loyalty Islands
4.6,southeast of the Loyalty Islands,1684612766086,1690161326040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k400,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k400&format=geojson,,,,,reviewed,0,326,us,7000k400,",us7000k400,",",us,",",origin,phase-data,",25.0,3.411,0.77,91.0,mb,earthquake,M 4.6 - southeast of the Loyalty Islands
4.8,"163 km S of Attu Station, Alaska",1684609206428,1690161327040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdhf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdhf&format=geojson,,,,,reviewed,0,354,us,6000kdhf,",ak0236fuk1w4,us6000kdhf,",",ak,us,",",origin,phase-data,",59.0,1.546,0.62,127.0,mb,earthquake,"M 4.8 - 163 km S of Attu Station, Alaska"
5.0,southeast of the Loyalty Islands,1684606060973,1690161327040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdh8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdh8&format=geojson,,,,,reviewed,0,385,us,6000kdh8,",us6000kdh8,",",us,",",origin,phase-data,",60.0,3.134,0.54,105.0,mb,earthquake,M 5.0 - southeast of the Loyalty Islands
4.5,southeast of the Loyalty Islands,1684605395073,1690161328040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k407,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k407&format=geojson,,,,,reviewed,0,312,us,7000k407,",us7000k407,",",us,",",origin,phase-data,",23.0,3.368,0.67,106.0,mb,earthquake,M 4.5 - southeast of the Loyalty Islands
4.5,southeast of the Loyalty Islands,1684601444880,1690161328040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k40u,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k40u&format=geojson,,,,,reviewed,0,312,us,7000k40u,",us7000k40u,",",us,",",origin,phase-data,",18.0,3.254,0.7,99.0,mb,earthquake,M 4.5 - southeast of the Loyalty Islands
4.8,southeast of the Loyalty Islands,1684599239085,1690161329040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdgr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdgr&format=geojson,,,,,reviewed,0,354,us,6000kdgr,",us6000kdgr,",",us,",",origin,phase-data,",36.0,3.546,0.54,122.0,mb,earthquake,M 4.8 - southeast of the Loyalty Islands
4.6,southeast of the Loyalty Islands,1684599056894,1690161329040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k3zp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k3zp&format=geojson,,,,,reviewed,0,326,us,7000k3zp,",us7000k3zp,",",us,",",origin,phase-data,",15.0,3.49,0.8,97.0,mb,earthquake,M 4.6 - southeast of the Loyalty Islands
4.8,Southwest Indian Ridge,1684596921862,1690161329040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdgp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdgp&format=geojson,,,,,reviewed,0,354,us,6000kdgp,",us6000kdgp,",",us,",",origin,phase-data,",31.0,12.001,0.58,82.0,mb,earthquake,M 4.8 - Southwest Indian Ridge
4.5,south of the Kermadec Islands,1684596752247,1690161329040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k404,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k404&format=geojson,,,,,reviewed,0,312,us,7000k404,",us7000k404,",",us,",",origin,phase-data,",18.0,2.955,0.87,184.0,mb,earthquake,M 4.5 - south of the Kermadec Islands
4.5,southeast of the Loyalty Islands,1684592220436,1690161330040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k3zk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k3zk&format=geojson,,,,,reviewed,0,312,us,7000k3zk,",us7000k3zk,",",us,",",origin,phase-data,",13.0,2.855,0.54,152.0,mb,earthquake,M 4.5 - southeast of the Loyalty Islands
4.5,southeast of the Loyalty Islands,1684592049685,1705607911076,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k3zw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k3zw&format=geojson,,,,,reviewed,0,312,us,7000k3zw,",us7000k3zw,",",us,",",earthquake-name,origin,phase-data,",13.0,2.805,0.89,187.0,mb,earthquake,M 4.5 - southeast of the Loyalty Islands
4.6,"19 km SE of Wada, Japan",1684591882172,1690161330040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdgi,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdgi&format=geojson,1.0,2.0,,,reviewed,0,326,us,6000kdgi,",us6000kdgi,",",us,",",dyfi,origin,phase-data,",38.0,1.67,0.56,127.0,mb,earthquake,"M 4.6 - 19 km SE of Wada, Japan"
4.8,southeast of the Loyalty Islands,1684590620712,1690161330040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdgf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdgf&format=geojson,,,,,reviewed,0,354,us,6000kdgf,",us6000kdgf,",",us,",",origin,phase-data,",23.0,3.011,0.53,85.0,mb,earthquake,M 4.8 - southeast of the Loyalty Islands
5.2,southeast of the Loyalty Islands,1684589362888,1690161330040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdgb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdgb&format=geojson,,,,,reviewed,0,416,us,6000kdgb,",us6000kdgb,",",us,",",origin,phase-data,",48.0,3.066,0.73,122.0,mb,earthquake,M 5.2 - southeast of the Loyalty Islands
5.1,southeast of the Loyalty Islands,1684589234210,1690161331040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kdg5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kdg5&format=geojson,,,,,reviewed,0,400,us,6000kdg5,",us6000kdg5,",",us,",",origin,phase-data,",43.0,3.114,0.89,124.0,mb,earthquake,M 5.1 - southeast of the Loyalty Islands
4.7,southeast of the Loyalty Islands,1684586201218,1690161331040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k3zc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k3zc&format=geojson,,,,,reviewed,0,340,us,7000k3zc,",us7000k3zc,",",us,",",origin,phase-data,",24.0,2.99,0.56,106.0,mb,earthquake,M 4.7 - southeast of the Loyalty Islands
4.5,Ascension Island region,1684585632329,1690161331040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k3z9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k3z9&format=geojson,,,,,reviewed,0,312,us,7000k3z9,",us7000k3z9,",",us,",",origin,phase-data,",18.0,2.798,0.31,66.0,mb,earthquake,M 4.5 - Ascension Island region
